场景名称,数据分组,点云数量,占分组比例,占全局比例,低植被类,建筑类,背景类,车辆类,高植被类,平均优先级
37XCNN_val,val,9061328,29.48%,8.58%,0.017,0.002,0.041,0.000,0.017,0.114
32_val,val,5124655,16.67%,4.85%,0.006,0.000,0.031,0.000,0.011,0.114
32_train,train,10837582,14.47%,10.26%,0.008,0.001,0.017,0.000,0.006,0.065
37XCNN_train,train,12186299,16.27%,11.54%,0.015,0.001,0.027,0.000,0.007,0.054
35SBL_val,val,3891016,12.66%,3.68%,0.010,0.000,0.005,0.000,0.005,0.035
29XY8B,train,5596149,7.47%,5.30%,0.011,0.000,0.008,0.000,0.007,0.033
05YLZY2,val,3789402,12.33%,3.59%,0.005,0.002,0.006,0.000,0.004,0.032
35SBL_train,train,8312382,11.10%,7.87%,0.007,0.000,0.005,0.000,0.005,0.027
39PTY2,val,1573679,5.12%,1.49%,0.012,0.000,0.010,0.000,0.002,0.021
27DATA19_val,val,1651662,5.37%,1.56%,0.006,0.001,0.004,0.000,0.003,0.020
07DJXZ2,val,1852597,6.03%,1.75%,0.007,0.002,0.004,0.000,0.003,0.018
38HZ,val,1181659,3.84%,1.12%,0.001,0.001,0.003,0.000,0.001,0.013
04HXKJC,train,4166878,5.56%,3.94%,0.001,0.000,0.002,0.000,0.001,0.013
01JXY12,train,4633127,6.19%,4.39%,0.001,0.001,0.002,0.000,0.001,0.011
12JKQ17_2,train,2743659,3.66%,2.60%,0.005,0.001,0.003,0.000,0.001,0.011
05YLZY1,train,3492913,4.66%,3.31%,0.001,0.001,0.002,0.000,0.002,0.010
01JXY3,val,1685549,5.48%,1.60%,0.001,0.001,0.002,0.000,0.002,0.010
UrbanBIS_Yingrenshi,train,1918766,2.56%,1.82%,0.000,0.001,0.001,0.000,0.000,0.009
25JKQ18,train,2227700,2.97%,2.11%,0.002,0.000,0.002,0.000,0.001,0.009
27DATA19_train,train,1944283,2.60%,1.84%,0.003,0.000,0.002,0.000,0.001,0.008
33ZJ,train,2566117,3.43%,2.43%,0.001,0.001,0.002,0.000,0.001,0.008
24JKQ17_1,train,2765230,3.69%,2.62%,0.004,0.000,0.003,0.000,0.001,0.007
07DJXZ1,train,1655157,2.21%,1.57%,0.003,0.000,0.002,0.000,0.001,0.007
terrain16,val,787561,2.56%,0.75%,0.001,0.000,0.001,0.000,0.000,0.006
09Henan8,train,1593356,2.13%,1.51%,0.000,0.000,0.000,0.000,0.000,0.005
terrain9,train,1655267,2.21%,1.57%,0.000,0.000,0.000,0.000,0.000,0.005
06XCNC,train,962212,1.28%,0.91%,0.000,0.001,0.001,0.000,0.001,0.004
26GZGD,train,1675450,2.24%,1.59%,0.001,0.000,0.001,0.000,0.001,0.004
02YTXC,train,1014993,1.36%,0.96%,0.000,0.000,0.001,0.000,0.000,0.004
36LT,train,1278174,1.71%,1.21%,0.001,0.000,0.001,0.000,0.000,0.004
terrain3,train,946524,1.26%,0.90%,0.001,0.000,0.001,0.000,0.000,0.003
terrain18,val,139578,0.45%,0.13%,0.000,0.000,0.000,0.000,0.000,0.002
34PTY1,train,731112,0.98%,0.69%,0.001,0.000,0.001,0.000,0.000,0.002
